"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 16","33,75","33,83","34,69","26,05","11,47M","0,39%"
"Jan 16","33,62","37,60","38,39","26,19","10,39M","-9,23%"
"Dez 15","37,04","41,73","42,23","33,98","8,70M","-11,07%"
"Nov 15","41,65","46,43","48,36","38,99","7,88M","-10,60%"
"Out 15","46,59","45,38","50,92","42,58","8,31M","3,33%"
"Set 15","45,09","48,10","48,87","43,21","7,97M","-8,35%"
"Ago 15","49,20","46,86","49,33","37,75","8,24M","4,41%"
"Jul 15","47,12","58,98","58,98","46,68","7,17M","-20,77%"
"Jun 15","59,47","60,29","61,82","56,83","6,54M","-1,38%"
"Mai 15","60,30","59,79","62,58","56,51","6,34M","1,12%"
"Abr 15","59,63","47,55","59,85","47,05","7,63M","25,27%"
"Mar 15","47,60","49,45","52,48","42,03","7,69M","-4,34%"
"Fev 15","49,76","47,59","54,24","46,67","8,46M","3,15%"
"Jan 15","48,24","53,76","55,11","43,58","7,31M","-9,44%"
"Dez 14","53,27","66,00","69,54","52,44","6,56M","-19,47%"
"Nov 14","66,15","80,59","80,98","65,69","5,85M","-17,87%"
"Out 14","80,54","91,36","92,96","79,44","7,17M","-11,65%"
"Set 14","91,16","95,81","95,91","90,43","5,56M","-5,00%"
"Ago 14","95,96","97,70","98,67","92,50","4,59M","-2,25%"
"Jul 14","98,17","105,44","106,09","97,60","5,14M","-6,83%"
"Jun 14","105,37","102,92","107,73","101,60","4,12M","2,59%"
"Mai 14","102,71","99,72","104,50","98,74","4,38M","2,98%"
"Abr 14","99,74","101,53","104,99","98,86","4,71M","-1,81%"
"Mar 14","101,58","103,00","105,22","97,37","4,59M","-0,98%"
"Fev 14","102,59","97,40","103,80","96,26","3,93M","5,23%"
"Jan 14","97,49","98,50","98,97","91,24","4,49M","-0,94%"
"Dez 13","98,42","92,71","100,75","92,56","3,66M","6,15%"
"Nov 13","92,72","96,32","96,65","91,77","4,51M","-3,80%"
"Out 13","96,38","102,31","104,38","95,95","5,14M","-5,81%"
"Set 13","102,33","107,07","110,70","101,05","4,58M","-4,94%"
"Ago 13","107,65","105,26","112,24","102,22","5,30M","2,49%"
"Jul 13","105,03","96,58","109,32","96,07","5,38M","8,77%"
"Jun 13","96,56","91,73","99,01","91,26","4,92M","4,99%"
"Mai 13","91,97","93,08","97,17","90,11","5,87M","-1,59%"
"Abr 13","93,46","97,36","97,80","85,61","5,43M","-3,88%"
"Mar 13","97,23","91,76","97,35","89,33","4,03M","5,63%"
"Fev 13","92,05","97,42","98,15","91,57","4,12M","-5,58%"
"Jan 13","97,49","91,78","98,24","91,52","4,38M","6,18%"
"Dez 12","91,82","88,85","91,99","85,21","3,59M","3,27%"
"Nov 12","88,91","86,10","89,80","84,05","5,17M","3,10%"
"Out 12","86,24","92,15","93,66","84,66","5,24M","-6,45%"
"Set 12","92,19","96,38","100,42","88,95","4,34M","-4,44%"
"Ago 12","96,47","88,03","98,29","86,92","5,08M","9,55%"
"Jul 12","88,06","84,65","92,94","82,10","5,27M","3,65%"
"Jun 12","84,96","86,44","87,03","77,28","5,95M","-1,81%"
"Mai 12","86,53","104,89","106,43","85,86","5,81M","-17,49%"
"Abr 12","104,87","103,27","105,49","100,68","4,48M","1,80%"
"Mar 12","103,02","106,82","110,55","102,13","5,74M","-3,78%"
"Fev 12","107,07","98,38","109,95","95,44","5,54M","8,72%"
"Jan 12","98,48","99,70","103,74","97,40","5,41M","-0,35%"
